OPDMS_EID,PSSE_BUS_NUMBER,PSSE_BUS_NAME,EMS_REGION_ID,EMS_STN_ID,EMS_ID,EMS_STN_DESC,BASKV,BUS_TYPE_IDE,AREA,ZONE
1385471,21184,2DMY01184,NSW,BURRINJK,1GN5,BURRINJUCK 132KV,11,1,2,98
1385471,21185,2DMY01185,NSW,BURRINJK,1GN5,BURRINJUCK 132KV,11,1,2,98
4978701,21262,2DMY01262,NSW,ARMIDALE,SVC,ARMIDALE 330KV,13.6,1,2,98
588658,21265,2DMY01265,NSW,GADARA,1,GADARA,11,1,2,98
1385471,21351,2DMY01351,NSW,BURRINJK,1GN5,BURRINJUCK 132KV,11,1,2,98
3923973,21459,2DMY01459,NSW,HUNTERGT,GEN1,HUNTER VALLEY 33KV GT PS,11.5,1,2,98
3923971,21460,2DMY01460,NSW,HUNTERGT,GEN2,HUNTER VALLEY 33KV GT PS,11.5,1,2,98
3925880,21473,2DMY01473,NSW,ERARING,GT,ERARING PS 500KV,11,1,2,98
4983716,22178,2DMY02178,NSW,NYNGN_SF,GEN1,NYNGAN SF,0.36,1,2,98
4973831,22265,2DMY02265,NSW,GRWF,GRSF,GULLEN RANGE WIND FARM,0.55,1,2,98
4982035,22439,2DMY02439,NSW,SUNRY_SF,GENB,SUNRAYSIA SF,0.6,1,2,98
4982039,22440,2DMY02440,NSW,SUNRY_SF,GENA,SUNRAYSIA SF,0.6,1,2,98
4983884,22442,2DMY02442,NSW,NYNGN132,DVAR,NYNGAN 132KV,0.48,1,2,98
4983498,22469,2DMY02469,NSW,GRWF2,GEN,GULLEN RANGE 2 WIND FARM,0.69,1,2,98
4983732,22474,2DMY02474,NSW,NYNGN_SF,GEN3,NYNGAN SF,0.36,1,2,98
4983714,22475,2DMY02475,NSW,NYNGN_SF,GEN2,NYNGAN SF,0.36,1,2,98
4983719,22476,2DMY02476,NSW,NYNGN_SF,GEN4,NYNGAN SF,0.36,1,2,98
4984881,22488,2DMY02488,NSW,COLLECWF,GEN2,COLLECTOR WF,0.72,1,2,98
4984871,22490,2DMY02490,NSW,COLLECWF,GEN1,COLLECTOR WF,0.72,1,2,98
4984866,22492,2DMY02492,NSW,BANGOWF,GEN1,BANGO WF,6,1,2,98
4985072,22495,2DMY02495,NSW,JEMAL_SF,GEN,JEMALONG SOLAR FARM,0.6,1,2,98
4986467,22520,2DMY02520,NSW,WAGGN_SF,GEN2,WAGGA NORTH SOLAR FARM,0.63,1,2,98
4986458,22521,2DMY02521,NSW,WAGGN_SF,GEN1,WAGGA NORTH SOLAR FARM,0.63,1,2,98
4986653,22525,2DMY02525,NSW,GRWF,GEN2,GULLEN RANGE WIND FARM,0.62,1,2,98
4986657,22526,2DMY02526,NSW,GRWF,GEN4,GULLEN RANGE WIND FARM,0.62,1,2,98
4986651,22527,2DMY02527,NSW,BANGOWF,GEN2,BANGO WF,6,4,2,98
4986777,22531,2DMY02531,NSW,GUNDH_SF,GEN,GUNNEDAH SOLAR FARM,0.62,1,2,98
4986967,22539,2DMY02539,NSW,SUNTP_SF,GEN,SUNTOP SOLAR FARM,0.62,1,2,98
4970447,31001,3DMY01001,VIC,ROTS,SVC2,ROWVILLE 220KV,10.5,1,3,98
204274,31151,3DMY01151,VIC,JINDABYN,PMP1,JINDABYNE PUMP STATION,11,1,3,98
204275,31152,3DMY01152,VIC,JINDABYN,PMP2,JINDABYNE PUMP STATION,11,1,3,98
3931732,31535,3DMY01535,VIC,OWF,2DB2,OAKLAND HILL WF,33,1,3,98
