"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
0.000000,2.500585,162.452709,162.471953,89.118133,0.000000
0.000000,3.258797,215.445029,215.469674,89.133417,0.000000
0.000000,5.380095,347.452359,347.494010,89.112880,0.000000
0.000000,16.774782,537.186813,537.448663,88.211401,0.000000
0.000000,166.998975,948.089535,962.685007,80.010245,0.000000
0.000000,1056.525510,277.759945,1092.426995,14.729712,0.000000
0.000000,407.277197,248.227264,476.960680,31.361468,0.000000
0.000000,328.350605,437.091733,546.683915,53.085513,0.000000
0.000000,360.982262,583.524582,686.155326,58.258074,0.000000
0.000000,459.019979,699.441781,836.611107,56.724464,0.000000
0.000000,623.511910,756.988034,980.712998,50.522579,0.000000
0.000000,818.908456,682.180106,1065.823980,39.795511,0.000000
0.000000,889.296602,451.961519,997.555843,26.940752,0.000000
0.000000,734.187085,263.378109,779.999169,19.734653,0.000000
0.000000,515.533037,254.707636,575.021992,26.292438,0.000000
0.000000,356.497110,354.172664,502.522105,44.812599,0.000000
0.000000,261.117643,487.559705,553.079460,61.828264,0.000000
0.000000,207.528857,626.931733,660.387481,71.684266,0.000000
0.000000,179.797946,765.868535,786.690482,76.788293,0.000000
0.000000,169.207861,904.958764,920.641985,79.409211,0.000000
0.000000,172.012891,1047.036480,1061.072017,80.670473,0.000000
0.000000,188.625769,1196.042994,1210.825555,81.037802,0.000000
0.000000,226.333925,1356.246574,1375.002479,80.525642,0.000000
0.000000,310.047044,1527.437285,1558.587126,78.525706,0.000000
0.000000,512.453944,1612.569560,1692.037124,72.370410,0.000000
0.000000,434.529064,1479.147489,1541.652620,73.628798,0.000000
0.000000,298.965472,1704.222521,1730.247021,80.050056,0.000000
0.000000,304.982439,1955.439834,1979.080400,81.135217,0.000000
0.000000,351.510528,2191.841831,2219.849153,80.888930,0.000000
0.000000,414.024013,2450.018104,2484.754433,80.408311,0.000000
0.000000,501.691932,2730.123124,2775.836283,79.587401,0.000000
0.000000,616.643601,3042.226025,3104.092221,78.541679,0.000000
0.000000,767.970417,3396.301356,3482.045586,77.258572,0.000000
0.000000,970.194601,3803.414867,3925.206010,75.689868,0.000000
0.000000,1246.092708,4276.263297,4454.118860,73.754006,0.000000
0.000000,1631.782226,4828.642129,5096.910638,71.327929,0.000000
0.000000,2185.932062,5472.188288,5892.634695,68.225162,0.000000
0.000000,3005.356760,6205.545073,6894.995207,64.159009,0.000000
0.000000,4248.189825,6982.556873,8173.323515,58.683656,0.000000
0.000000,6150.801705,7625.531091,9796.993725,51.110132,0.000000
0.000000,8945.952670,7632.560973,11759.509181,40.470344,0.000000
0.000000,12383.267347,5994.394858,13757.837036,25.830331,0.000000
0.000000,14824.655052,1967.153009,14954.600910,7.558688,0.000000
0.000000,14284.329924,-2864.461857,14568.706982,-11.339225,0.000000
0.000000,11542.031927,-5944.152003,12982.736385,-27.248489,0.000000
0.000000,8646.526867,-7002.962039,11126.720280,-39.004573,0.000000
0.000000,6435.776640,-6978.369370,9492.990046,-47.316311,0.000000
0.000000,4898.283125,-6549.185344,8178.325394,-53.206359,0.000000
0.000000,3842.153006,-6020.038224,7141.638463,-57.452868,0.000000
0.000000,3105.730866,-5504.412108,6320.135827,-60.567191,0.000000
