"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.008195,16.607076,29.505615,33.858179,60.627250,289.831051
0.392300,14.316787,51.827538,53.768616,74.557772,2.454641
0.201326,29.538962,75.747978,81.303792,68.696021,0.847151
0.255169,100.095862,-58.425662,115.899696,-30.271985,0.913257
0.749573,78.083204,51.234641,93.391515,33.271061,1.947438
0.132888,201.384677,171.922429,264.788802,40.487440,0.297117
0.416618,177.773543,102.470367,205.191639,29.959559,1.303582
0.157374,133.526100,40.932998,139.659335,17.043145,0.671136
0.118635,85.295934,-0.964960,85.301392,-0.648165,0.283757
0.179140,246.023988,235.929614,340.867402,43.800132,0.367644
0.357090,383.914379,146.144020,410.789879,20.840241,0.649407
0.093924,343.943824,-41.399811,346.426469,-6.863555,0.176029
0.353085,353.157597,61.469242,358.467231,9.873764,0.695343
0.169356,259.464192,-31.579875,261.378950,-6.939445,0.494890
0.155811,64.088509,107.203287,124.899487,59.128079,0.538734
0.163715,159.514299,31.141402,162.525686,11.046705,0.614237
0.515537,57.894869,81.093576,99.639269,54.475945,1.396375
0.126471,133.611611,34.836333,138.078357,14.613298,0.302842
0.501011,160.418273,61.018557,171.631252,20.825394,0.897445
0.152262,187.234666,-66.715194,198.765533,-19.611929,0.290913
0.108267,58.710857,-75.405696,95.566646,-52.095684,0.154784
0.126397,216.539360,-2.005260,216.548644,-0.530572,0.168939
0.442454,113.776258,-14.306932,114.672251,-7.167109,0.433236
0.115686,122.763591,51.743913,133.222865,22.855051,0.103867
0.389502,149.943072,86.726416,173.217770,30.044900,0.349757
0.121841,270.039131,161.689144,314.745153,30.911568,0.149789
0.108849,500.231654,-68.552064,504.907015,-7.803244,0.090570
0.174300,437.083013,-967.816678,1061.937231,-65.695229,0.124989
0.439080,305.339206,-568.150539,645.001602,-61.745234,0.258423
0.121119,70.802136,-230.742818,241.361120,-72.941663,0.069577
0.347312,26.521657,-121.758135,124.613168,-77.711640,0.195425
0.114005,60.981707,-44.481385,75.480873,-36.107826,0.094107
0.100134,88.130167,18.277908,90.005601,11.716848,0.052478
0.112839,89.044046,282.700190,296.392037,72.516774,0.076993
0.287126,79.624869,87.891019,118.595746,47.824996,0.122905
0.117637,113.928815,-273.292493,296.088773,-67.369964,0.040941
0.286568,1071.435613,268.307030,1104.519323,14.058795,0.089301
0.142619,578.015038,-675.586394,889.110994,-49.450521,0.060994
0.110568,267.989235,-635.085919,689.312959,-67.121559,0.026754
0.118526,530.010396,605.973830,805.056087,48.825682,0.050515
0.263743,998.580134,142.463734,1008.691330,8.119386,0.061607
0.101822,570.746541,-40.905204,572.210494,-4.099359,0.020266
0.256038,1121.177545,-167.774006,1133.660974,-8.510642,0.053203
0.112695,224.167990,-415.265196,471.907269,-61.638989,0.047243
0.101124,100.993968,-209.631340,232.690954,-64.276655,0.023238
0.110188,176.036892,231.802129,291.069089,52.785967,0.055233
0.248419,961.823757,103.983530,967.428300,6.170327,0.078105
0.108990,495.938363,219.125769,542.190891,23.837794,0.038876
0.231162,658.870674,5.291551,658.891922,0.460146,0.091930
0.124472,321.399325,204.404459,380.891992,32.455661,0.100386
