"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.008787,16.301721,29.314901,33.542653,60.922005,335.716474
0.387462,13.766005,50.879972,52.709339,74.860608,2.641481
0.196277,17.688182,71.853367,73.998501,76.170447,0.935439
0.265103,106.720767,-54.624470,119.888093,-27.105401,1.120078
0.711205,71.168741,53.955317,89.309383,37.166939,2.385715
0.105328,129.132790,94.901885,160.254938,36.312799,0.287012
0.512848,213.723721,193.035754,287.994151,42.088420,1.262928
0.174854,161.030653,43.079388,166.693445,14.977209,0.574011
0.130021,116.246399,-3.403733,116.296219,-1.677160,0.220089
0.271365,312.624659,329.960128,454.541377,46.545334,0.507305
0.571045,550.779938,155.395313,572.281612,15.755715,0.927250
0.118413,422.318742,312.269631,525.228943,36.479849,0.136777
0.560622,521.914479,150.908428,543.293730,16.126907,0.869454
0.253020,366.015878,116.454923,384.095525,17.649460,0.636636
0.280375,312.121124,149.495463,346.075844,25.592845,0.635134
0.396395,183.778907,264.423229,322.016041,55.200004,1.543109
0.580996,88.493922,45.306591,99.417611,27.111268,3.720116
0.117743,97.329683,32.883959,102.734716,18.668135,0.678451
0.461609,135.455257,64.281593,149.934152,25.387127,1.443817
0.167598,188.552810,-48.198899,194.615765,-14.339195,0.488466
0.111116,61.105893,-74.752500,96.549813,-50.735966,0.216076
0.125820,213.041752,4.577044,213.090914,1.230768,0.197569
0.441818,113.552424,-13.009911,114.295279,-6.535984,0.495357
0.115295,121.870469,52.494626,132.695505,23.303534,0.113551
0.388114,149.943275,89.050634,174.393237,30.705885,0.334471
0.121667,283.634996,164.141821,327.706192,30.058307,0.121412
0.119440,564.105976,-60.307282,567.320474,-6.102184,0.100516
0.230066,1469.396215,-48.117015,1470.183827,-1.875544,0.163271
0.499809,524.474025,-464.375085,700.512114,-41.522032,0.383186
0.140647,371.996165,-180.373181,413.419437,-25.867779,0.127816
0.360282,113.268289,-116.004233,162.131698,-45.683687,0.291767
0.145653,163.151110,107.296835,195.271338,33.331044,0.272268
0.107244,203.149932,87.302446,221.114477,23.255321,0.073000
0.135471,96.227372,294.134739,309.475285,71.884282,0.131282
0.418215,389.050825,711.389711,810.824188,61.326260,0.241091
0.144273,1444.012336,526.051634,1536.848056,20.016610,0.039240
0.384325,1256.561339,313.168256,1294.998361,13.994519,0.128726
0.250179,687.435607,-571.455532,893.940232,-39.736270,0.206405
0.137683,1029.043357,243.544430,1057.470623,13.315233,0.062018
0.222715,721.160310,618.002002,949.736104,40.595092,0.189988
0.427243,1045.003673,-90.290227,1048.897041,-4.938196,0.287882
0.137329,654.418354,167.035371,675.399288,14.318596,0.104324
0.359952,1146.936791,-224.316611,1168.666738,-11.066158,0.241729
0.162763,181.934011,-356.869993,400.569815,-62.987298,0.257639
0.112126,159.888760,11.749613,160.319896,4.202893,0.171287
0.210855,239.066392,230.713930,332.237351,43.981417,0.526474
0.410682,606.554887,-348.516776,699.551838,-29.880989,0.503074
0.159140,430.435967,-21.976219,430.996608,-2.922740,0.327438
0.338151,314.792171,-124.453979,338.500965,-21.571506,0.666341
0.372364,209.602732,-208.652075,295.751574,-44.869772,0.988521
