"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.009136,19.100752,30.948394,36.368143,58.317915,289.822729
0.418048,16.688232,55.775252,58.218346,73.342556,1.767071
0.209310,33.796872,80.333684,87.153482,67.183212,0.601837
0.232377,94.263024,-61.738483,112.681666,-33.223184,0.553354
0.717381,78.776688,50.779710,93.724840,32.805960,1.286912
0.114018,179.085947,221.438311,284.792384,51.036158,0.166929
0.432143,254.650158,139.549634,290.380446,28.722974,0.819048
0.173485,139.955068,133.007217,193.075998,43.541936,0.518020
0.119406,86.859714,-5.835783,87.055536,-3.843715,0.166795
0.175402,320.638884,262.497938,414.384437,39.306211,0.301874
0.324187,477.844130,109.480464,490.225442,12.904506,0.467326
0.092158,394.641020,-81.489228,402.966536,-11.667003,0.115045
0.317046,445.037287,136.620383,465.535515,17.065773,0.432935
0.140585,316.097742,118.999581,337.755359,20.629575,0.293413
0.171451,134.124898,190.796942,233.222986,54.893857,0.234290
0.206103,105.281254,221.632673,245.367447,64.591072,0.492506
0.678290,201.621327,233.236943,308.302823,49.158274,1.508815
0.109660,112.306967,6.955383,112.522141,3.543910,0.401362
0.423220,131.283827,44.837274,138.729320,18.856540,1.326534
0.150188,177.908855,-44.378531,183.360341,-14.006328,0.420023
0.109172,61.050079,-73.665906,95.675378,-50.350008,0.201481
0.127236,210.947691,2.204676,210.959212,0.598793,0.205475
0.439192,112.965162,-13.847575,113.810734,-6.988606,0.448854
0.115191,122.675931,50.871310,132.805400,22.522829,0.099256
0.391528,152.228671,85.137021,174.418693,29.217002,0.306586
0.130901,399.856719,301.350734,500.697175,37.003389,0.138407
0.104350,471.333336,-45.694514,473.543137,-5.537369,0.103107
0.178693,465.851458,-954.086722,1061.743403,-63.975154,0.136137
0.433609,298.365554,-560.519534,634.983584,-61.973547,0.245122
0.120388,69.555642,-228.740695,239.082189,-73.086493,0.065267
0.347382,26.191690,-121.068076,123.868816,-77.792836,0.195848
0.115605,164.993701,51.178934,172.748964,17.233221,0.094876
0.101541,192.465586,56.851844,200.686656,16.456459,0.052632
0.120990,91.701869,287.147551,301.434817,72.288882,0.095521
0.288037,80.433157,88.041033,119.250644,47.585579,0.096043
0.118538,970.942015,-126.815156,979.188684,-7.441303,0.033865
0.301052,1157.044726,258.182491,1185.500189,12.578886,0.081612
0.129744,149.192175,-721.768020,737.026037,-78.321223,0.039901
0.106482,248.228566,-620.436218,668.250344,-68.194285,0.018526
0.124290,563.193156,615.727360,834.449947,47.551485,0.049598
0.258099,1019.468103,159.882940,1031.929148,8.913083,0.042053
0.101924,580.587513,258.103454,635.373319,23.967809,0.015920
0.262440,1153.945259,222.133689,1175.131073,10.896115,0.054353
0.107215,215.183015,-412.615378,465.354897,-62.457512,0.037308
0.100816,98.922397,60.230202,115.815879,31.335694,0.021294
0.108154,178.554811,233.890626,294.256088,52.641467,0.043835
0.243188,983.687303,77.254240,986.716234,4.490528,0.071584
0.109233,506.095958,217.512760,550.858348,23.257337,0.038023
0.225157,668.254968,-5.871258,668.280759,-0.503385,0.079609
0.117619,325.811541,206.186488,385.572338,32.327254,0.074902
