"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.000000,24.365810,33.156225,41.146421,53.688619,0.000000
0.500000,24.365810,66.312451,70.647249,69.824676,0.000000
0.240000,47.460361,92.057988,103.572000,62.726697,0.000000
0.200000,79.320442,-66.594329,103.568997,-40.015500,0.000000
0.710000,86.192917,47.514531,98.421794,28.866100,0.000000
0.100000,219.528702,251.793292,334.054955,48.916103,0.000000
0.340000,326.455414,174.260407,370.053816,28.093096,0.000000
0.120000,169.899094,160.818500,233.940787,43.427211,0.000000
0.120000,89.591843,-11.315480,90.303590,-7.198362,0.000000
0.090000,455.102509,313.379811,552.562394,34.550976,0.000000
0.180000,602.990112,30.598599,603.765973,2.904970,0.000000
0.070000,422.873810,-148.604700,448.224961,-19.362301,0.000000
0.190000,533.330505,166.578799,558.739585,17.345511,0.000000
0.070000,346.675293,161.486994,382.441902,24.976870,0.000000
0.150000,108.755402,209.881199,236.384972,62.607893,0.000000
0.140000,53.294029,228.452000,234.585955,76.868698,0.000000
0.600000,73.408913,309.102595,317.699988,76.640300,0.000000
0.130000,152.634506,8.843457,152.890481,3.315940,0.000000
0.540000,189.074905,30.395749,191.502536,9.132750,0.000000
0.130000,160.869797,-97.746862,188.237989,-31.283483,0.000000
0.100000,50.695930,-74.214772,89.877193,-55.663112,0.000000
0.120000,214.896805,-41.120220,218.795588,-10.832530,0.000000
0.440000,112.176102,-23.736319,114.659891,-11.947482,0.000000
0.120000,132.286804,44.558569,139.589630,18.615227,0.000000
0.410000,168.283997,81.316179,186.900574,25.790207,0.000000
0.120000,566.982605,362.055593,672.720988,32.560902,0.000000
0.100000,446.325714,-200.954998,489.478860,-24.239319,0.000000
0.110000,159.907806,-700.068296,718.098967,-77.133384,0.000000
0.350000,178.313797,-487.037784,518.653655,-69.891361,0.000000
0.110000,56.554852,-214.570003,221.898034,-75.234198,0.000000
0.330000,23.519119,-117.305797,119.640290,-78.662850,0.000000
0.110000,170.823807,45.412159,176.757000,14.887300,0.000000
0.100000,199.264801,50.171968,205.484032,14.132482,0.000000
0.110000,97.717628,305.286290,320.543997,72.250899,0.000000
0.290000,82.640923,89.054949,121.492000,47.139398,0.000000
0.110000,973.330871,-265.491901,1008.889952,-15.257202,0.000000
0.280000,1288.088012,138.098300,1295.469748,6.119412,0.000000
0.110000,108.572998,-694.995381,703.424961,-81.120953,0.000000
0.100000,215.274201,-619.085809,655.446581,-70.825945,0.000000
0.100000,579.762512,657.535208,876.628268,48.596703,0.000000
0.250000,1079.816040,171.554405,1093.358859,9.027346,0.000000
0.100000,590.607727,278.936903,653.164055,25.280801,0.000000
0.240000,1203.322021,301.040201,1240.406824,14.045640,0.000000
0.100000,218.164093,-429.430302,481.669966,-63.067999,0.000000
0.100000,98.363228,61.310357,115.906361,31.935521,0.000000
0.100000,169.725296,235.940100,290.644812,54.270362,0.000000
0.220000,1005.158020,198.445105,1024.559957,11.168098,0.000000
0.100000,486.352112,254.120408,548.739973,27.587200,0.000000
0.210000,686.974609,62.314917,689.795087,5.183070,0.000000
0.100000,306.860687,222.006793,378.748594,35.884891,0.000000
