"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
0.000000,2.604319,167.253965,167.274240,89.107917,0.000000
0.000000,3.430740,225.104173,225.130315,89.126841,0.000000
0.000000,5.698711,362.163018,362.207851,89.098513,0.000000
0.000000,17.572282,557.455632,557.732523,88.194503,0.000000
0.000000,172.354276,974.840908,989.959995,79.973580,0.000000
0.000000,1043.034236,304.169838,1086.480423,16.257750,0.000000
0.000000,407.676827,286.586818,498.329609,35.106279,0.000000
0.000000,330.531945,480.127796,582.901422,55.455507,0.000000
0.000000,364.388215,632.623478,730.062488,60.058255,0.000000
0.000000,464.193479,755.348383,886.581506,58.427519,0.000000
0.000000,631.569667,820.047248,1035.064121,52.397883,0.000000
0.000000,831.437373,751.717596,1120.877982,42.117306,0.000000
0.000000,906.847669,525.387524,1048.048064,30.086110,0.000000
0.000000,753.759015,338.614402,826.324613,24.191251,0.000000
0.000000,533.776025,333.742639,629.524419,32.015619,0.000000
0.000000,372.871696,440.169745,576.873215,49.731769,0.000000
0.000000,276.390124,582.746817,644.969265,64.625552,0.000000
0.000000,222.592989,732.888185,765.945644,73.105401,0.000000
0.000000,195.454761,884.007625,905.357412,77.532438,0.000000
0.000000,186.217485,1036.801134,1053.391448,79.817799,0.000000
0.000000,191.226280,1194.376429,1209.587758,80.903827,0.000000
0.000000,211.208527,1361.088000,1377.377793,81.179406,0.000000
0.000000,254.363704,1541.629648,1562.473317,80.630803,0.000000
0.000000,348.089792,1734.966675,1769.541146,78.655255,0.000000
0.000000,562.165985,1831.887658,1916.205361,72.939903,0.000000
0.000000,480.778727,1731.506919,1797.015413,74.481892,0.000000
0.000000,357.433685,1986.274326,2018.178520,79.798700,0.000000
0.000000,372.361690,2274.139103,2304.422246,80.701052,0.000000
0.000000,432.695885,2566.419118,2602.639587,80.429985,0.000000
0.000000,522.146703,2880.477296,2927.419791,79.725510,0.000000
0.000000,643.080816,3230.278692,3293.668678,78.740814,0.000000
0.000000,805.282788,3628.985681,3717.259400,77.488623,0.000000
0.000000,1025.679924,4091.202849,4217.814607,75.925812,0.000000
0.000000,1331.689610,4634.117835,4821.664166,73.967129,0.000000
0.000000,1768.463582,5277.262586,5565.695270,71.473483,0.000000
0.000000,2412.092585,6038.833565,6502.745687,68.226739,0.000000
0.000000,3393.798489,6920.975044,7708.291883,63.878321,0.000000
0.000000,4938.601792,7861.100759,9283.678840,57.861612,0.000000
0.000000,7394.464518,8586.599935,11331.716726,49.266177,0.000000
0.000000,11063.665081,8272.840847,13814.650944,36.787254,0.000000
0.000000,15223.479559,5351.714495,16136.764791,19.368791,0.000000
0.000000,16918.249898,-458.098250,16924.450763,-1.551028,0.000000
0.000000,14541.455445,-5637.177393,15595.887132,-21.189446,0.000000
0.000000,10762.757982,-7852.196532,13322.685531,-36.113407,0.000000
0.000000,7701.147804,-8101.303707,11177.602572,-46.450556,0.000000
0.000000,5620.455311,-7608.847085,9459.602098,-53.547692,0.000000
0.000000,4246.994369,-6938.455569,8135.055430,-58.529406,0.000000
0.000000,3324.903142,-6285.246254,7110.506408,-62.121104,0.000000
0.000000,2687.813752,-5703.575966,6305.166260,-64.767813,0.000000
0.000000,2234.813442,-5200.246520,5660.119697,-66.744315,0.000000
