"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
0.000000,2.420492,159.293382,159.311771,89.129447,0.000000
0.000000,3.048251,208.513214,208.535494,89.162454,0.000000
0.000000,4.092571,318.143355,318.169677,89.262992,0.000000
0.000000,5.599296,434.960015,434.996054,89.262465,0.000000
0.000000,7.714197,562.808679,562.861545,89.214719,0.000000
0.000000,10.754175,707.377508,707.459250,89.129006,0.000000
0.000000,15.360897,877.821712,877.956101,88.997490,0.000000
0.000000,23.030616,1090.347795,1090.590998,88.789963,0.000000
0.000000,37.684058,1377.237956,1377.753416,88.432661,0.000000
0.000000,72.222902,1814.224555,1815.661555,87.720302,0.000000
0.000000,185.635607,2631.178778,2637.719154,85.964340,0.000000
0.000000,940.257459,4963.299193,5051.576285,79.272892,0.000000
0.000000,14736.063383,-5656.041102,15784.244200,-20.997954,0.000000
0.000000,1006.948693,-2801.448383,2976.921012,-70.229604,0.000000
0.000000,397.268734,-1127.586018,1195.521926,-70.591727,0.000000
0.000000,259.158650,-432.680000,504.356212,-59.080016,0.000000
0.000000,210.909731,-19.942622,211.850473,-5.401557,0.000000
0.000000,193.523607,278.063690,338.778397,55.163294,0.000000
0.000000,190.983399,521.844236,555.694219,69.898497,0.000000
0.000000,197.702120,739.293567,765.271917,75.028276,0.000000
0.000000,211.726199,945.904362,969.310603,77.383183,0.000000
0.000000,232.810679,1151.825638,1175.118340,78.573144,0.000000
0.000000,262.051813,1364.197459,1389.138531,79.126375,0.000000
0.000000,298.354570,1589.369215,1617.130159,79.368232,0.000000
0.000000,344.848259,1838.610532,1870.670738,79.377070,0.000000
0.000000,406.933632,2119.792747,2158.498615,79.133210,0.000000
0.000000,490.165692,2444.696446,2493.351783,78.662433,0.000000
0.000000,604.362796,2830.304235,2894.110649,77.946494,0.000000
0.000000,766.479646,3301.582131,3389.385728,76.930008,0.000000
0.000000,1007.695336,3896.880749,4025.062665,75.501468,0.000000
0.000000,1389.870187,4677.994995,4880.100031,73.452889,0.000000
0.000000,2049.445036,5746.889976,6101.390772,70.372845,0.000000
0.000000,3330.073631,7262.696090,7989.752492,65.367713,0.000000
0.000000,6242.619998,9316.729455,11214.800586,56.176169,0.000000
0.000000,13712.443320,10055.903322,17004.478628,36.254141,0.000000
0.000000,21737.362668,-2223.737047,21850.811020,-5.841051,0.000000
0.000000,11155.319454,-11366.607598,15926.108137,-45.537501,0.000000
0.000000,4609.949086,-9289.538210,10370.494237,-63.607016,0.000000
0.000000,2258.149305,-6945.715068,7303.574200,-71.989930,0.000000
0.000000,1281.391300,-5327.410585,5479.349159,-76.475667,0.000000
0.000000,811.810132,-4197.099187,4274.889154,-79.052933,0.000000
0.000000,564.400561,-3363.314710,3410.342187,-80.473907,0.000000
0.000000,429.185168,-2713.505917,2747.237571,-81.012194,0.000000
0.000000,358.516968,-2181.535980,2210.799323,-80.667346,0.000000
0.000000,329.883267,-1726.207776,1757.445947,-79.181057,0.000000
0.000000,333.016948,-1320.402904,1361.750387,-75.844720,0.000000
0.000000,364.136568,-944.921137,1012.655615,-68.925240,0.000000
0.000000,423.944189,-585.463040,722.838603,-54.091035,0.000000
0.000000,517.159881,-230.497766,566.200991,-24.022497,0.000000
0.000000,652.957242,129.223309,665.621382,11.194452,0.000000
