"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.015025,16.829353,29.648541,34.091980,60.419526,290.176504
0.393178,14.385183,51.965652,53.919963,74.526794,2.431764
0.199187,28.935959,75.149700,80.528052,68.941087,0.867076
0.256948,104.301272,-56.333755,118.542175,-28.373754,0.983380
0.710951,72.404032,53.610829,90.091425,36.517721,2.191383
0.104876,132.225541,93.926176,162.190382,35.388014,0.264413
0.514980,221.965336,192.151079,293.582438,40.882103,1.224856
0.210396,128.336984,156.934649,202.728551,50.724613,0.693982
0.129053,116.218665,-4.157450,116.293002,-2.048749,0.200979
0.273372,320.224943,330.682701,460.320609,45.920459,0.506965
0.569213,554.263367,151.271238,574.535349,15.265558,0.918760
0.125276,420.795417,313.939150,525.001498,36.725193,0.152684
0.561445,517.852698,161.224328,542.369524,17.293058,0.869714
0.242466,360.860165,127.366642,382.677828,19.440632,0.595116
0.248319,300.211808,164.586666,342.368077,28.733102,0.481266
0.381675,148.734270,266.337588,305.053428,60.819146,1.412658
0.724025,241.545003,77.180784,253.576146,17.720221,3.142932
0.110731,100.459879,29.531204,104.710454,16.381236,0.576726
0.478083,139.912197,61.844209,152.971007,23.846462,1.401486
0.165684,289.408706,28.212028,290.780531,5.567694,0.394512
0.109831,59.819888,-74.724148,95.718949,-51.321229,0.190771
0.126566,214.077757,-0.713561,214.078946,-0.190977,0.181812
0.442032,113.455993,-14.348251,114.359673,-7.207667,0.438050
0.115909,123.191407,51.580531,133.554012,22.719175,0.099867
0.392653,152.263100,88.198799,175.963290,30.081680,0.305118
0.126012,290.897139,161.214507,332.582715,28.995117,0.122070
0.114395,562.227131,-80.901169,568.017910,-8.188319,0.080637
0.247716,1582.456513,9.533224,1582.485228,0.345164,0.160053
0.458069,500.874834,-470.667765,687.316335,-43.219141,0.284324
0.133031,366.879284,-185.957113,411.315520,-26.878711,0.098910
0.365138,112.264479,-116.170725,161.551696,-45.979663,0.323345
0.143946,164.371680,107.056486,196.161006,33.076495,0.254145
0.103924,204.608641,78.579756,219.179091,21.009239,0.049164
0.157713,96.809563,295.975138,311.405481,71.887762,0.214213
0.368814,393.514798,719.189661,819.809530,61.314102,0.159682
0.137776,1462.045026,527.681163,1554.356159,19.845523,0.032555
0.414111,1262.583703,324.672292,1303.660119,14.421110,0.152362
0.196275,699.753759,-574.682697,905.491869,-39.395036,0.131768
0.129088,1022.811773,273.053281,1058.632145,14.947287,0.048275
0.221322,687.005854,630.137482,932.228668,42.527759,0.184892
0.309185,1064.869816,-27.952974,1065.236637,-1.503677,0.129370
0.114222,641.345900,201.557728,672.272326,17.446528,0.049516
0.281364,1218.469884,-81.883092,1221.218121,-3.844586,0.122085
0.114314,199.492499,-376.399817,425.997745,-62.076339,0.102249
0.104452,117.438673,53.475907,129.040747,24.482231,0.074911
0.134080,207.670656,240.694607,317.900920,49.212464,0.165456
0.287773,908.175158,-264.401832,945.880778,-16.232142,0.230851
0.126716,519.303854,130.824815,535.529294,14.139919,0.127791
0.259322,565.020326,-202.797405,600.312216,-19.744105,0.304571
0.194434,390.265868,115.370326,406.961620,16.468724,0.411584
