"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.016684,16.957626,29.725508,34.222316,60.296370,336.074129
0.398797,14.637958,52.383292,54.390064,74.387540,2.410985
0.204461,30.243987,76.522324,82.282226,68.434537,0.828170
0.255756,98.523843,-59.241323,114.962959,-31.018039,0.900942
0.752911,78.228479,49.815754,92.743217,32.488911,1.854247
0.110901,145.235765,56.113291,155.698840,21.124538,0.285516
0.401452,179.565240,90.992968,201.304236,26.873176,1.275828
0.130999,113.480579,118.214537,163.867381,46.170495,0.451769
0.096540,147.834125,151.275537,211.516469,45.659189,0.208212
0.159846,246.882536,231.814504,338.657572,43.197086,0.324369
0.328966,380.137758,143.671055,406.381702,20.703820,0.593915
0.074690,305.496983,213.086619,372.470555,34.896085,0.118671
0.319774,338.811716,130.774932,363.174147,21.105648,0.599085
0.145956,240.173590,103.858201,261.667498,23.385091,0.399298
0.152098,175.276484,122.069319,213.594860,34.854845,0.413261
0.151470,69.193702,153.553518,168.423429,65.742901,0.523315
0.421728,69.586776,190.990562,203.272512,69.980957,1.043536
0.094448,103.303389,238.694232,260.089458,66.597742,0.201605
0.495937,159.457625,60.694250,170.618071,20.838293,0.890774
0.151592,187.020751,-65.927689,198.300836,-19.418338,0.290736
0.104809,267.603406,-6.162926,267.674363,-1.319293,0.145536
0.124159,216.297556,-1.744497,216.304591,-0.462095,0.157525
0.442226,113.738772,-14.258042,114.628967,-7.145201,0.434336
0.115582,122.687880,51.702408,133.136978,22.851246,0.103875
0.386155,149.605922,86.679612,172.902536,30.087412,0.336344
0.116595,270.628667,162.731030,315.786737,31.018806,0.130189
0.107518,566.174043,-23.434837,566.658838,-2.370210,0.088399
0.120499,1462.861863,386.379244,1513.028007,14.795404,0.079425
0.424631,580.262673,-455.834946,737.895838,-38.151993,0.250657
0.118845,387.129256,-167.640147,421.867609,-23.414254,0.068501
0.344904,116.457353,-116.001978,164.373884,-44.887761,0.183785
0.111843,158.663810,108.966620,192.478386,34.480376,0.084735
0.098115,198.052023,91.459919,218.150225,24.787373,0.045093
0.107309,89.084077,282.734163,296.436468,72.511366,0.054956
0.272015,87.288714,650.501195,656.331566,82.357313,0.110461
0.097100,1145.217270,722.062116,1353.845004,32.231525,0.028167
0.263647,1056.153601,515.708385,1175.336363,26.025757,0.072570
0.117084,164.986591,374.040683,408.811702,66.198077,0.058881
0.097929,137.177211,397.598379,420.597264,70.964823,0.023347
0.109861,528.977516,606.111630,804.480280,48.887514,0.038158
0.263626,991.870031,205.849893,1013.005596,11.724562,0.062249
0.100671,563.426320,267.636437,623.761557,25.408459,0.018823
0.241982,1114.656213,273.084498,1147.620851,13.765996,0.038833
0.110858,71.141077,-424.006857,429.933562,-80.475465,0.042565
0.100894,101.118800,-209.854937,232.946574,-64.272864,0.020980
0.108684,175.571813,231.870875,290.842851,52.867122,0.048365
0.238079,963.222773,109.890692,969.471028,6.508533,0.063161
0.104542,436.647736,228.113043,492.642676,27.583419,0.027936
0.223228,660.704959,8.571446,660.760556,0.743267,0.074169
0.114252,97.334697,-433.549493,444.341317,-77.346530,0.072753
