"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.016740,17.027993,29.766060,34.292431,60.227824,336.074724
0.399891,14.713443,52.504774,54.527394,74.345504,2.395005
0.205175,30.425938,76.714047,82.527466,68.365983,0.822462
0.255469,98.062695,-59.472533,114.687725,-31.235747,0.891783
0.769771,71.748851,177.287192,191.255447,67.966619,1.625649
0.124820,147.199037,177.189528,230.355562,50.282115,0.296131
0.400804,177.602599,98.111014,202.900109,28.917086,1.263132
0.136537,132.713039,39.485765,138.462545,16.569184,0.523440
0.117774,84.827523,-1.146256,84.835267,-0.774179,0.280801
0.161102,247.884642,229.153297,337.576701,42.751382,0.327680
0.330628,378.198027,138.494997,402.758752,20.112581,0.599760
0.087191,99.017750,-157.860348,186.344853,-57.902047,0.191909
0.321980,345.776542,61.420025,351.189175,10.072348,0.633209
0.150596,258.043734,-27.843586,259.541584,-6.158535,0.433151
0.155825,63.285394,107.284808,124.559508,59.464404,0.539641
0.153521,160.505694,30.620665,163.400437,10.800884,0.547521
0.509665,58.223967,80.945255,99.710404,54.272514,1.325183
0.125487,133.165138,34.570458,137.579325,14.553065,0.298566
0.496839,159.877781,60.843044,171.063675,20.834809,0.884955
0.151475,187.121472,-66.195563,198.485006,-19.481598,0.288425
0.108221,58.784753,-75.364627,95.579675,-52.045606,0.154983
0.124188,216.344428,-1.789296,216.351827,-0.473859,0.157404
0.442231,113.732428,-14.264609,114.623490,-7.148852,0.434300
0.115574,122.661943,51.668857,133.100049,22.842272,0.104097
0.385795,149.389518,86.615013,172.682913,30.104862,0.340011
0.116269,263.063530,159.845489,307.819754,31.284152,0.129441
0.108852,500.277198,-69.806438,505.123958,-7.943507,0.089857
0.170899,436.323323,-966.195672,1060.147216,-65.696589,0.119005
0.439941,304.486291,-567.701589,644.202604,-61.793152,0.260265
0.121319,70.765085,-230.633145,241.245404,-72.942434,0.070750
0.346337,26.517108,-121.728544,124.583287,-77.710787,0.185157
0.113781,60.970094,-44.482169,75.471953,-36.113502,0.090264
0.099720,88.133560,18.260308,90.005351,11.705439,0.046446
0.109875,62.540709,44.245105,76.609200,35.277913,0.059101
0.287668,79.661374,87.887075,118.617336,47.810649,0.127221
0.116568,113.794238,-273.085804,295.846219,-67.378618,0.036197
0.277052,71.353918,91.807105,116.275217,52.145090,0.082749
0.147440,575.667720,-674.599940,886.836176,-49.524321,0.068313
0.110121,267.154761,-633.685397,687.698225,-67.140249,0.026012
0.112138,417.893875,-299.309635,514.024852,-35.611511,0.043218
0.266721,998.465800,138.525235,1008.029362,7.898686,0.064830
0.101555,570.124601,-42.095693,571.676577,-4.222826,0.019834
0.243918,1117.725417,-172.152773,1130.905250,-8.755928,0.041438
0.112015,223.597632,-414.414947,470.888150,-61.650914,0.046329
0.100938,100.875866,-209.395069,232.426839,-64.277604,0.023317
0.109988,176.467256,231.713806,291.259301,52.708037,0.054691
0.241393,960.283540,99.077276,965.381160,5.890650,0.071299
0.105475,496.395410,217.465850,541.940771,23.657744,0.031572
0.225831,657.348804,3.054549,657.355901,0.266238,0.084477
0.121438,321.833971,203.539727,380.795910,32.310777,0.091134
