"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
0.000000,2.402191,157.659568,157.677868,89.127076,0.000000
0.000000,3.105677,205.821528,205.844958,89.135520,0.000000
0.000000,5.176206,332.917068,332.957306,89.109235,0.000000
0.000000,16.716354,517.680584,517.950407,88.150512,0.000000
0.000000,170.112380,923.023626,938.568503,79.557619,0.000000
0.000000,1036.555980,244.503290,1065.002422,13.272348,0.000000
0.000000,402.246224,217.101273,457.094068,28.356728,0.000000
0.000000,324.260374,398.496126,513.754759,50.864398,0.000000
0.000000,355.914391,538.085549,645.144256,56.517527,0.000000
0.000000,451.803727,647.312584,789.392291,55.086177,0.000000
0.000000,612.705650,698.894617,929.441714,48.759662,0.000000
0.000000,803.782363,620.627341,1015.502035,37.672935,0.000000
0.000000,872.930666,389.611839,955.931657,24.052459,0.000000
0.000000,720.798371,197.731203,747.427535,15.340156,0.000000
0.000000,504.898936,181.756608,536.617555,19.798172,0.000000
0.000000,346.974918,272.154328,440.975704,38.109329,0.000000
0.000000,251.588302,395.653418,468.869173,57.548514,0.000000
0.000000,197.269765,524.380591,560.259194,69.383912,0.000000
0.000000,168.224382,651.755830,673.115966,75.527289,0.000000
0.000000,155.728783,778.137155,793.567190,78.682892,0.000000
0.000000,155.909867,906.065344,919.381473,80.236527,0.000000
0.000000,168.887593,1039.089454,1052.724994,80.768204,0.000000
0.000000,201.253925,1180.928637,1197.954752,80.328565,0.000000
0.000000,275.900166,1330.408614,1358.715563,78.284070,0.000000
0.000000,453.176405,1394.477080,1466.265727,71.996903,0.000000
0.000000,376.170767,1280.539079,1334.647811,73.629338,0.000000
0.000000,257.710087,1467.870509,1490.321549,80.042219,0.000000
0.000000,255.477680,1676.337555,1695.693499,81.334670,0.000000
0.000000,287.038655,1878.969892,1900.768014,81.314426,0.000000
0.000000,335.886609,2088.258278,2115.098685,80.862504,0.000000
0.000000,400.395750,2312.821169,2347.223576,80.178299,0.000000
0.000000,483.233182,2559.422957,2604.642045,79.308101,0.000000
0.000000,589.662684,2834.627053,2895.308725,78.248849,0.000000
0.000000,727.801688,3145.628360,3228.726231,76.972747,0.000000
0.000000,909.905482,3500.667557,3616.987881,75.429894,0.000000
0.000000,1154.516876,3909.113231,4076.036736,73.546030,0.000000
0.000000,1490.274417,4380.771012,4627.318068,71.212444,0.000000
0.000000,1962.254798,4923.230735,5299.872146,68.269230,0.000000
0.000000,2642.211187,5534.115982,6132.513323,64.478300,0.000000
0.000000,3643.255817,6179.851381,7173.832730,59.479044,0.000000
0.000000,5130.251627,6742.738816,8472.544393,52.734099,0.000000
0.000000,7279.087278,6907.038776,10034.555110,43.497692,0.000000
0.000000,10033.010303,6022.570204,11701.822405,30.975361,0.000000
0.000000,12530.749254,3369.072670,12975.759227,15.048915,0.000000
0.000000,13170.992534,-589.542748,13184.180102,-2.562888,0.000000
0.000000,11591.256863,-3939.016460,12242.266389,-18.769123,0.000000
0.000000,9162.532301,-5638.675002,10758.561890,-31.608380,0.000000
0.000000,7001.111434,-6093.634148,9281.591374,-41.035691,0.000000
0.000000,5386.646385,-5944.185643,8021.801683,-47.816995,0.000000
0.000000,4240.614212,-5569.623399,7000.250974,-52.714987,0.000000
