"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.016389,16.607075,29.505616,33.858180,60.627252,336.070739
0.394956,14.316843,51.827486,53.768581,74.557699,2.502394
0.202732,29.539741,75.746379,81.302585,68.695100,0.864433
0.259530,100.097844,-58.405637,115.891315,-30.262940,0.967159
0.751921,66.683505,173.033984,185.438533,68.924431,1.736552
0.124481,199.024063,173.666979,264.141623,41.107719,0.264595
0.411519,92.628669,119.442370,151.150752,52.206089,1.658692
0.140295,133.514689,39.955518,139.365044,16.660304,0.544158
0.117979,101.028162,0.982413,101.032938,0.557135,0.281511
0.168947,246.415652,232.562062,338.830025,43.343282,0.345285
0.348064,380.047083,143.262872,406.152725,20.654479,0.634632
0.086063,340.775772,-39.311358,343.035726,-6.580464,0.155598
0.339977,348.484602,63.113146,354.153621,10.265421,0.671892
0.159812,258.987930,-28.121423,260.510196,-6.197011,0.464033
0.157984,59.668859,101.768015,117.970766,59.615952,0.570156
0.157815,160.765594,31.722803,163.865531,11.162394,0.572406
0.511668,58.020954,81.324390,99.900388,54.494009,1.329497
0.126414,133.757375,34.670565,138.177724,14.531536,0.300116
0.499160,160.509244,60.898588,171.673689,20.777176,0.881573
0.152128,187.163713,-66.771505,198.717612,-19.634090,0.289815
0.105947,230.734762,-25.824028,232.175388,-6.386016,0.147170
0.124419,216.539488,-2.024425,216.548951,-0.535642,0.157396
0.442453,113.777595,-14.308860,114.673818,-7.167981,0.433089
0.115684,122.764335,51.748297,133.225254,22.856663,0.103845
0.387216,149.939487,86.758919,173.230944,30.054800,0.334216
0.118266,231.889107,145.108850,273.549148,32.037027,0.140325
0.109951,500.064873,-68.659815,504.756423,-7.817932,0.093423
0.172667,437.251245,-967.392227,1061.619692,-65.677525,0.122140
0.440119,305.371076,-568.039444,644.918835,-61.738067,0.261050
0.121331,70.814162,-230.733073,241.355333,-72.938255,0.070811
0.346458,26.525581,-121.756347,124.612256,-77.709702,0.186408
0.113868,60.981155,-44.479715,75.479443,-36.107049,0.091826
0.099743,88.127567,18.276800,90.002830,11.716493,0.047067
0.109918,62.527823,44.250270,76.601665,35.286634,0.060293
0.287733,74.426353,87.766660,115.075057,49.701970,0.129881
0.112807,976.009378,-71.795703,978.646478,-4.207127,0.034276
0.277063,71.314427,91.798674,116.244329,52.157908,0.084582
0.147851,165.958168,-748.082117,766.269513,-77.491798,0.072676
0.110548,268.240221,-634.881015,689.221821,-67.095713,0.026796
0.111911,530.007501,605.488387,804.688845,48.803081,0.041050
0.261500,82.266130,-250.536646,263.697416,-71.821906,0.072524
0.100961,43.856290,-92.151814,102.055529,-64.549594,0.021098
0.243097,140.854321,-203.819415,247.754503,-55.352653,0.045072
0.112343,71.357097,-423.258959,429.231851,-80.430508,0.047752
0.100760,78.513593,60.569822,99.161926,37.648624,0.023561
0.110119,176.030280,231.695208,290.979946,52.774271,0.055145
0.239179,781.866603,133.048782,793.106148,9.657408,0.072055
0.105411,437.155554,226.304832,492.258932,27.369507,0.031323
0.226590,658.232423,5.602996,658.256269,0.487700,0.083870
0.121699,321.186610,204.256358,380.633023,32.454033,0.091299
