"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.014862,16.609516,29.507113,33.860682,60.624896,290.172603
0.393261,14.321903,51.835789,53.777932,74.554858,2.469496
0.202853,29.570394,75.776771,81.342039,68.682763,0.863575
0.257219,99.931473,-58.467655,115.778953,-30.330942,0.937263
0.756581,67.713130,173.431364,186.181379,68.672742,1.733909
0.123088,199.178628,167.160708,260.028514,40.005063,0.271122
0.411667,90.165400,119.222983,149.478825,52.900683,1.681367
0.165274,134.042315,40.593267,140.054116,16.848369,0.724197
0.118174,101.229935,0.943866,101.234335,0.534209,0.279639
0.180971,247.315352,233.664566,340.241110,43.374314,0.371933
0.372537,381.530872,142.599565,407.308780,20.493546,0.684412
0.093397,340.277044,-40.478800,342.676232,-6.783932,0.177374
0.367627,347.663532,61.323508,353.030458,10.003364,0.739357
0.168064,257.222522,-27.925004,258.733901,-6.195970,0.494924
0.153641,59.502011,101.222964,117.416259,59.551661,0.541201
0.167930,160.691266,32.861485,164.016951,11.557672,0.633458
0.516214,57.843540,81.535632,99.969667,54.647099,1.372116
0.124398,134.037059,34.772597,138.474065,14.543366,0.280697
0.503158,160.760486,60.971429,171.934433,20.770171,0.901004
0.151942,187.225811,-66.965710,198.841420,-19.680784,0.287487
0.105924,230.847413,-25.937646,232.299999,-6.410775,0.146550
0.125020,216.610658,-2.049626,216.620355,-0.542131,0.160586
0.442697,113.789754,-14.305545,114.685468,-7.165580,0.435524
0.115666,122.735127,51.764526,133.204645,22.867976,0.104104
0.388881,149.607194,86.848799,172.988515,30.135687,0.354279
0.120380,232.526757,146.853748,275.017665,32.274718,0.146533
0.107950,501.350334,-71.622610,506.440476,-8.130229,0.086149
0.170334,429.810883,-964.028965,1055.504259,-65.970368,0.117587
0.439204,303.344276,-567.523759,643.506773,-61.875274,0.257863
0.121282,70.662398,-230.576684,241.161319,-72.961823,0.070462
0.347903,26.501803,-121.717016,124.568766,-77.716537,0.201683
0.114313,60.968315,-44.484912,75.472133,-36.115980,0.099227
0.099581,88.134847,18.261735,90.006901,11.706162,0.044478
0.111557,62.537793,44.246897,76.607854,35.280267,0.086677
0.286915,74.447100,87.769815,115.090882,49.695108,0.120109
0.112936,975.758082,-73.131739,978.494806,-4.286227,0.034275
0.278325,71.331514,91.801926,116.257381,52.152241,0.097381
0.142651,165.720445,-747.432690,765.584020,-77.498640,0.063306
0.110554,267.911240,-634.481944,688.726194,-67.108003,0.026828
0.118883,530.665219,605.486600,805.120859,48.767778,0.051006
0.256971,82.235911,-250.477688,263.631973,-71.824148,0.050656
0.100496,43.850245,-92.144640,102.046454,-64.550927,0.015387
0.240715,140.810292,-203.790659,247.705816,-55.357250,0.033208
0.105924,71.344110,-423.108470,429.081297,-80.428877,0.029093
0.100247,78.520261,60.565845,99.164777,37.644451,0.017040
0.105364,176.094935,231.692256,291.016713,52.763783,0.034395
0.225527,781.857710,132.581001,793.019042,9.624197,0.051348
0.102459,437.248837,226.155167,492.272999,27.349046,0.023848
0.214120,658.104016,5.320844,658.125526,0.463233,0.061155
0.111658,321.247655,204.174104,380.640408,32.438654,0.057710
