"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
0.000000,2.603293,167.316095,167.336346,89.108600,0.000000
0.000000,3.427019,225.244270,225.270339,89.128330,0.000000
0.000000,5.699204,362.869328,362.914081,89.100190,0.000000
0.000000,18.024534,560.850723,561.140283,88.159271,0.000000
0.000000,190.404175,994.680414,1012.740280,79.163392,0.000000
0.000000,978.297025,244.259229,1008.329133,14.018877,0.000000
0.000000,389.796464,296.693045,489.865335,37.276527,0.000000
0.000000,324.222429,488.483450,586.290256,56.426471,0.000000
0.000000,362.693547,640.121593,735.732467,60.464065,0.000000
0.000000,467.102779,762.179138,893.925078,58.497879,0.000000
0.000000,640.824870,823.367177,1043.355175,52.106456,0.000000
0.000000,844.479178,743.524068,1125.154710,41.362395,0.000000
0.000000,908.492197,504.504952,1039.174344,29.044341,0.000000
0.000000,739.332389,323.022033,806.818205,23.601019,0.000000
0.000000,516.523751,329.829667,612.849406,32.560536,0.000000
0.000000,359.214519,442.572138,570.004534,50.935423,0.000000
0.000000,266.513745,587.309581,644.951254,65.592047,0.000000
0.000000,215.460180,737.787120,768.604530,73.720311,0.000000
0.000000,190.189882,888.514218,908.641682,77.917946,0.000000
0.000000,182.230905,1040.582481,1056.418479,80.066864,0.000000
0.000000,188.126158,1197.194934,1211.885787,81.069619,0.000000
0.000000,208.721044,1362.655294,1378.547760,81.291558,0.000000
0.000000,252.368704,1541.483570,1562.005621,80.702133,0.000000
0.000000,347.582562,1731.585980,1766.126735,78.649814,0.000000
0.000000,558.893087,1807.108049,1891.560463,72.814476,0.000000
0.000000,433.301494,1738.345935,1791.534753,76.003625,0.000000
0.000000,337.604939,2012.977099,2041.091350,80.479288,0.000000
0.000000,368.239159,2300.403100,2329.689786,80.905481,0.000000
0.000000,430.572911,2581.229444,2616.894816,80.529730,0.000000
0.000000,520.837667,2895.612847,2942.081854,79.803169,0.000000
0.000000,643.610119,3245.048515,3308.258431,78.781767,0.000000
0.000000,807.789299,3643.268437,3731.746033,77.498559,0.000000
0.000000,1030.457083,4104.819569,4232.184483,75.907909,0.000000
0.000000,1339.221024,4646.610262,4835.752255,73.922245,0.000000
0.000000,1779.411744,5287.633340,5579.011784,71.400715,0.000000
0.000000,2427.136625,6045.083612,6514.140624,68.124249,0.000000
0.000000,3413.017686,6919.257002,7715.232154,63.744553,0.000000
0.000000,4959.358677,7844.506014,9280.706498,57.698602,0.000000
0.000000,7405.197052,8545.506242,11307.635487,49.089095,0.000000
0.000000,11032.653143,8207.342966,13750.633220,36.646068,0.000000
0.000000,15114.069486,5314.113202,16021.076604,19.371696,0.000000
0.000000,16790.514582,-381.873080,16794.856564,-1.302875,0.000000
0.000000,14506.736385,-5494.664727,15512.470500,-20.745005,0.000000
0.000000,10807.605530,-7737.453402,13291.821638,-35.599887,0.000000
0.000000,7773.002741,-8033.330377,11178.281110,-45.943566,0.000000
0.000000,5693.129794,-7574.866465,9475.775895,-53.072152,0.000000
0.000000,4312.556532,-6925.511753,8158.483737,-58.089237,0.000000
0.000000,3382.191454,-6285.078964,7137.326993,-61.713959,0.000000
0.000000,2737.617252,-5711.416785,6333.626916,-64.390497,0.000000
0.000000,2278.271584,-5213.377120,5689.448340,-66.394434,0.000000
