"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.008756,16.607075,29.505617,33.858180,60.627254,335.715741
0.394956,14.316905,51.827427,53.768541,74.557619,2.502395
0.202728,29.540571,75.744597,81.301226,68.694100,0.864441
0.259500,100.100639,-58.383751,115.882701,-30.252897,0.967246
0.752337,77.945532,51.220609,93.268734,33.310250,2.005302
0.123642,196.645476,175.501647,263.572137,41.748192,0.260778
0.433595,185.228960,103.073629,211.976274,29.094453,1.318531
0.141560,133.529275,38.902900,139.080922,16.243144,0.552178
0.118268,84.824606,-1.194678,84.833019,-0.806906,0.286997
0.169915,246.806807,228.889320,336.606478,42.842927,0.348714
0.346411,375.846099,140.207431,401.146375,20.457768,0.635801
0.088640,99.856741,-158.051243,186.953374,-57.715311,0.202529
0.335443,343.544468,64.929045,349.626347,10.702519,0.669416
0.157944,258.524626,-24.444247,259.677692,-5.401422,0.460026
0.156873,105.017185,138.537648,173.842713,52.836389,0.493774
0.157154,162.055600,32.339731,165.250948,11.285661,0.560921
0.512518,58.143984,81.570287,100.172025,54.518410,1.310924
0.126358,133.919019,34.499957,138.291542,14.446308,0.297202
0.499140,160.611764,60.772680,171.724947,20.725765,0.877452
0.151981,187.088523,-66.834959,198.668134,-19.658612,0.288604
0.108230,58.693546,-75.397398,95.549464,-52.100817,0.154233
0.124399,216.540044,-2.045414,216.549705,-0.541194,0.157210
0.442453,113.779092,-14.310955,114.675565,-7.168926,0.432928
0.115681,122.765118,51.753108,133.227844,22.858439,0.103821
0.387180,149.935584,86.794211,173.245244,30.065549,0.333968
0.118454,270.439915,161.669388,315.078940,30.871046,0.137209
0.109895,499.883393,-68.780885,504.593120,-7.834354,0.093269
0.172705,437.433405,-966.922647,1061.266879,-65.658122,0.122249
0.440214,305.406907,-567.916389,644.827421,-61.730086,0.261374
0.121334,70.827572,-230.722261,241.348931,-72.934458,0.070850
0.346457,26.529891,-121.754232,124.611108,-77.707558,0.186453
0.113866,60.980554,-44.477859,75.477864,-36.106179,0.091844
0.099740,88.124677,18.275591,89.999755,11.716113,0.047076
0.109915,62.526902,44.247872,76.599528,35.285567,0.060303
0.287760,79.625650,87.877825,118.586493,47.820436,0.129871
0.116717,113.997432,-273.230669,296.058125,-67.353103,0.036927
0.277048,71.315822,91.790465,116.238702,52.154883,0.084656
0.148827,578.271586,-674.591265,888.522032,-49.396233,0.070583
0.110527,268.519878,-634.658409,689.125693,-67.067092,0.026844
0.112644,418.783405,-298.855455,514.484327,-35.512707,0.044664
0.267501,996.838093,142.272656,1006.939766,8.122623,0.066873
0.101695,570.166687,-40.695822,571.617180,-4.082580,0.020424
0.244572,1118.905475,-166.437731,1131.216593,-8.460736,0.042314
0.112587,224.542257,-414.935980,471.795604,-61.580001,0.047268
0.101100,101.103442,-209.557699,232.672163,-64.244498,0.023365
0.110040,176.020149,231.578219,290.880670,52.761919,0.055039
0.241843,959.169616,104.446679,964.839604,6.214612,0.070833
0.105439,495.087595,218.769397,541.268672,23.839685,0.031101
0.226187,657.546952,5.962221,657.573982,0.519508,0.083507
0.121451,320.950136,204.102625,380.350984,32.453607,0.090693
