"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
0.000000,2.500554,162.452710,162.471954,89.118144,0.000000
0.000000,3.260129,215.444697,215.469362,89.133061,0.000000
0.000000,5.412843,347.437632,347.479793,89.107443,0.000000
0.000000,17.136091,536.879545,537.152950,88.171857,0.000000
0.000000,168.046598,940.577309,955.471263,79.870230,0.000000
0.000000,1055.079357,329.845164,1105.436692,17.360598,0.000000
0.000000,427.638458,251.261809,495.991076,30.436648,0.000000
0.000000,343.987450,432.148371,552.340095,51.480426,0.000000
0.000000,375.225294,572.809046,684.765817,56.772726,0.000000
0.000000,470.877575,680.415851,827.460828,55.315069,0.000000
0.000000,625.976825,727.089820,959.430348,49.273699,0.000000
0.000000,798.524747,649.516764,1029.326867,39.124765,0.000000
0.000000,849.759350,442.612462,958.121466,27.513566,0.000000
0.000000,706.051415,279.547471,759.378291,21.600136,0.000000
0.000000,505.773714,273.969448,575.209795,28.443689,0.000000
0.000000,355.577487,367.715246,511.517205,45.961405,0.000000
0.000000,262.845648,495.911981,561.263331,62.075301,0.000000
0.000000,209.570890,631.938999,665.782889,71.652852,0.000000
0.000000,181.448966,768.866860,789.987327,76.721419,0.000000
0.000000,170.322535,906.758325,922.616077,79.361707,0.000000
0.000000,172.620169,1048.114196,1062.234009,80.647575,0.000000
0.000000,188.799433,1196.676419,1211.478303,81.034356,0.000000
0.000000,226.143556,1356.564104,1375.284362,80.535642,0.000000
0.000000,309.394926,1527.297265,1558.320299,78.548179,0.000000
0.000000,509.069424,1612.508122,1690.956570,72.479074,0.000000
0.000000,435.125076,1484.120904,1546.592606,73.659544,0.000000
0.000000,301.201711,1705.482330,1731.875414,79.984389,0.000000
0.000000,306.732248,1955.511766,1979.421870,81.085493,0.000000
0.000000,353.029122,2191.814602,2220.063245,80.850121,0.000000
0.000000,415.791714,2449.561801,2484.599719,80.366363,0.000000
0.000000,503.939522,2729.334943,2775.468298,79.538826,0.000000
0.000000,619.684818,3040.946651,3103.444185,78.481959,0.000000
0.000000,772.172845,3394.224893,3480.950089,77.183566,0.000000
0.000000,976.015896,3800.014577,3923.355429,75.595219,0.000000
0.000000,1254.098643,4270.636319,4450.965960,73.634799,0.000000
0.000000,1642.615005,4819.220745,5091.470578,71.178498,0.000000
0.000000,2200.114317,5456.211218,5883.089653,68.039173,0.000000
0.000000,3022.584689,6178.137350,6877.892069,63.930325,0.000000
0.000000,4265.133880,6935.429596,8141.962337,58.409415,0.000000
0.000000,6155.062828,7546.802183,9738.532826,50.799812,0.000000
0.000000,8903.998798,7515.924663,11652.052100,40.167934,0.000000
0.000000,12240.516432,5877.445376,13578.461131,25.648604,0.000000
0.000000,14587.676799,1962.161017,14719.048551,7.660768,0.000000
0.000000,14091.831200,-2712.718657,14350.559190,-10.896313,0.000000
0.000000,11476.339594,-5742.047686,12832.672446,-26.580537,0.000000
0.000000,8669.474513,-6834.103388,11039.237177,-38.248536,0.000000
0.000000,6496.915498,-6857.639533,9446.540687,-46.547258,0.000000
0.000000,4970.680821,-6466.984194,8156.564987,-52.453247,0.000000
0.000000,3914.757629,-5965.009751,7134.890933,-56.723635,0.000000
0.000000,3174.669088,-5468.232160,6322.980845,-59.862011,0.000000
