"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
0.000000,2.601614,167.250154,167.270387,89.108823,0.000000
0.000000,3.419806,225.088379,225.114356,89.129562,0.000000
0.000000,5.608587,362.093905,362.137339,89.112599,0.000000
0.000000,16.843947,557.359991,557.614453,88.268994,0.000000
0.000000,166.617760,981.161544,995.208247,80.362154,0.000000
0.000000,1059.621939,257.545813,1090.471687,13.661093,0.000000
0.000000,391.444938,280.154316,481.368446,35.591025,0.000000
0.000000,317.135593,482.181058,577.125252,56.666657,0.000000
0.000000,351.827537,640.330055,730.619733,61.213530,0.000000
0.000000,453.455630,770.894848,894.371776,59.535114,0.000000
0.000000,629.307390,846.194073,1054.548339,53.362130,0.000000
0.000000,851.650250,780.940514,1155.498263,42.519991,0.000000
0.000000,946.113734,529.915477,1084.408415,29.253058,0.000000
0.000000,778.474420,317.312165,840.660117,22.176187,0.000000
0.000000,538.763274,312.025775,622.596137,30.077359,0.000000
0.000000,369.788930,425.980358,564.094955,49.039106,0.000000
0.000000,271.638367,574.418170,635.408244,64.690858,0.000000
0.000000,218.260365,728.087810,760.098314,73.312739,0.000000
0.000000,192.050788,881.234861,901.919279,77.705554,0.000000
0.000000,183.787779,1035.194944,1051.383146,79.932648,0.000000
0.000000,189.711035,1193.446782,1208.431007,80.967798,0.000000
0.000000,210.539028,1360.567762,1376.761169,81.203619,0.000000
0.000000,254.437949,1541.517193,1562.374452,80.627445,0.000000
0.000000,348.921212,1736.542378,1771.249684,78.638912,0.000000
0.000000,574.863151,1839.529491,1927.261370,72.645686,0.000000
0.000000,490.259785,1705.637578,1774.698342,73.963501,0.000000
0.000000,349.391162,1971.906827,2002.620962,79.952361,0.000000
0.000000,365.838733,2268.218123,2297.531595,80.837724,0.000000
0.000000,429.124721,2553.002043,2588.815841,80.458554,0.000000
0.000000,514.197729,2869.859541,2915.560510,79.841999,0.000000
0.000000,634.008634,3220.313556,3282.131373,78.862172,0.000000
0.000000,794.607907,3618.457369,3704.677510,77.614524,0.000000
0.000000,1012.516811,4079.567906,4203.339695,76.061286,0.000000
0.000000,1314.590501,4620.944124,4804.297324,74.119729,0.000000
0.000000,1745.136125,5262.374217,5544.193584,71.653176,0.000000
0.000000,2378.790751,6022.755002,6475.509498,68.447605,0.000000
0.000000,3344.398991,6906.261923,7673.425465,64.161134,0.000000
0.000000,4863.830643,7856.021800,9239.801245,58.237467,0.000000
0.000000,7284.936884,8614.171017,11281.588883,49.779061,0.000000
0.000000,10932.570191,8382.992472,13776.634341,37.480653,0.000000
0.000000,15165.375422,5584.995508,16161.088655,20.217381,0.000000
0.000000,17052.534425,-219.125121,17053.942247,-0.736210,0.000000
0.000000,14769.493159,-5556.171071,15780.017907,-20.615918,0.000000
0.000000,10942.369384,-7891.308835,13491.041578,-35.798013,0.000000
0.000000,7811.750117,-8178.838230,11310.032480,-46.315080,0.000000
0.000000,5683.712774,-7688.055607,9560.899012,-53.524805,0.000000
0.000000,4282.002511,-7009.148708,8213.629594,-58.578566,0.000000
0.000000,3343.190382,-6346.238379,7172.981493,-62.219795,0.000000
0.000000,2695.863699,-5756.075614,6356.106320,-64.903911,0.000000
0.000000,2236.279388,-5245.806275,5702.580904,-66.911521,0.000000
