"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.009136,19.100753,30.948393,36.368142,58.317914,289.822709
0.419251,16.688196,55.775286,58.218369,73.342599,1.788690
0.211150,33.796466,80.334626,87.154192,67.183698,0.624381
0.234848,94.261442,-61.746853,112.684930,-33.227184,0.583493
0.721975,79.629402,51.598941,94.885680,32.942775,1.340615
0.107153,179.993767,221.538769,285.442082,50.907151,0.139193
0.452162,253.531763,137.211530,288.280001,28.422276,0.900821
0.184538,138.852627,132.683226,192.054395,43.698441,0.583753
0.119457,86.942646,-5.690549,87.128675,-3.744768,0.167919
0.174461,318.928327,264.907961,414.598005,39.713670,0.299921
0.346796,479.713593,112.594268,492.750039,13.208882,0.513382
0.092522,396.991299,-81.503955,405.271497,-11.601848,0.114661
0.342679,447.189942,139.051777,468.309983,17.272855,0.486894
0.141024,317.414835,120.384505,339.476960,20.770010,0.292675
0.171938,133.860583,191.879880,233.958424,55.099332,0.231486
0.217178,104.810387,223.270424,246.647319,64.853115,0.546217
0.688242,204.754580,236.139305,312.547931,49.071692,1.526170
0.102468,111.974722,6.246203,112.148801,3.192779,0.346873
0.428405,130.661660,44.692685,138.093829,18.883199,1.383459
0.150383,177.942527,-44.042044,183.311878,-13.901736,0.423102
0.109207,61.078004,-73.667042,95.694073,-50.337568,0.202129
0.123960,210.935924,2.244406,210.947864,0.609617,0.186621
0.439677,112.962542,-13.844803,113.807796,-6.987381,0.454462
0.115192,122.676616,50.866799,132.804305,22.520918,0.099251
0.391588,152.251046,85.124069,174.431901,29.209702,0.306427
0.137859,392.932969,362.899486,534.876018,42.724513,0.145858
0.104461,471.600626,-44.797461,473.723509,-5.426259,0.103791
0.180700,465.655331,-955.576252,1062.996172,-64.019879,0.139564
0.433674,298.259853,-560.801934,635.183241,-61.993933,0.245046
0.120391,69.530241,-228.762649,239.095805,-73.093847,0.065245
0.348264,26.184392,-121.072141,123.871247,-77.796533,0.205122
0.116350,165.006378,51.188986,172.764051,17.235159,0.100147
0.099606,41.594093,16.482045,44.740657,21.616406,0.035260
0.122589,91.656988,287.175440,301.447735,72.298621,0.101822
0.287380,75.173930,87.971519,115.715633,49.485258,0.088928
0.114947,110.044202,-270.182153,291.732964,-67.839112,0.028014
0.301280,1157.863851,258.622357,1186.395474,12.591004,0.081582
0.129762,148.857444,-721.932413,737.119358,-78.349289,0.039853
0.106503,248.008691,-620.665069,668.381207,-68.219072,0.018467
0.124343,563.127382,616.233910,834.779420,47.578282,0.049548
0.249375,79.673028,-248.294915,260.764561,-72.209571,0.017020
0.099641,43.388014,-90.017872,99.928660,-64.266244,0.006955
0.238489,98.295706,-32.030617,103.382814,-18.048706,0.019140
0.099352,59.861763,-61.370999,85.731151,-45.713243,0.009542
0.100036,78.918083,60.627908,99.517873,37.532856,0.011451
0.101721,92.137747,237.439436,254.689713,68.791388,0.013639
0.220720,184.567554,114.125632,217.001940,31.730189,0.034028
0.100800,446.077175,226.391853,500.238061,26.908579,0.017575
0.210961,64.845336,54.496045,84.703817,40.043706,0.041024
0.103137,104.237589,226.186740,249.050028,65.257506,0.022111
