"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.016291,16.488377,29.432394,33.736218,60.741932,336.069896
0.391439,14.090216,51.447230,53.341838,74.683582,2.549668
0.197847,18.072597,72.596404,74.812142,76.020599,0.902404
0.262038,105.449336,-55.529817,119.176856,-27.771375,1.063202
0.711483,71.809184,53.774908,89.712316,36.828011,2.290392
0.105233,130.724057,94.397585,161.244173,35.833553,0.276355
0.508183,217.928374,192.585766,290.829939,41.467396,1.223086
0.172926,161.575091,42.140853,166.980123,14.617829,0.552805
0.129683,116.228513,-3.797105,116.290521,-1.871148,0.211986
0.267146,316.842194,330.301759,457.698840,46.191489,0.494874
0.562296,553.135795,152.075476,573.660316,15.372701,0.905492
0.117723,423.825598,312.122384,526.353987,36.369440,0.134511
0.558561,522.148248,150.922140,543.522111,16.121451,0.864478
0.255039,365.785828,116.041562,383.751112,17.601062,0.643729
0.284580,312.320818,145.384729,344.501108,24.961886,0.659950
0.413915,199.649598,246.181565,316.962655,50.958460,1.693314
0.517138,73.938151,46.772553,87.490125,32.317046,3.481232
0.124543,109.041111,37.176241,115.204327,18.826186,0.588141
0.481674,145.499835,63.468963,158.740389,23.567470,1.249022
0.166143,295.885506,24.342190,296.885121,4.703072,0.379180
0.109692,59.541263,-74.922070,95.699940,-51.525509,0.184946
0.125777,214.695514,-1.145944,214.698572,-0.305815,0.173862
0.442077,113.539172,-14.388668,114.447269,-7.222517,0.433623
0.115957,123.200303,51.658828,133.592474,22.748676,0.100324
0.391026,152.159105,88.312790,175.930504,30.130780,0.296643
0.122134,290.397047,161.567609,332.316923,29.090161,0.109596
0.118079,562.580452,-79.147010,568.120598,-8.008138,0.089655
0.224158,1579.721282,21.892362,1579.872971,0.793975,0.141397
0.483196,502.705627,-469.900641,688.127575,-43.068206,0.337351
0.137903,367.068609,-185.473730,411.266177,-26.806719,0.114816
0.357282,112.297532,-116.122356,161.539894,-45.959311,0.261448
0.143589,164.384457,106.965700,196.122183,33.052233,0.251948
0.106977,204.339319,86.466027,221.880444,22.935615,0.066096
0.134696,97.388448,296.375673,311.966423,71.809581,0.121647
0.416723,400.460832,721.516778,825.200181,60.968571,0.225933
0.143959,1479.101811,494.913245,1559.705513,18.500442,0.037262
0.381454,1273.552223,291.190678,1306.417726,12.878979,0.126639
0.241709,677.631488,-575.464729,889.012985,-40.338901,0.197215
0.136726,1036.609904,234.788602,1062.866775,12.761973,0.061438
0.219836,727.736400,619.167121,955.493690,40.391547,0.185866
0.422541,1046.528953,-95.143669,1050.844977,-5.194683,0.283128
0.136839,655.437290,166.794230,676.327107,14.277454,0.103308
0.359235,1148.157532,-224.273900,1169.856615,-11.052629,0.240726
0.163386,182.168799,-356.779726,400.596111,-62.951517,0.259197
0.112374,159.718951,11.684721,160.145796,4.184191,0.174369
0.215921,239.964773,228.147027,331.110493,43.553843,0.552013
0.416257,580.958298,-324.154129,665.273210,-29.159968,0.518126
0.154993,392.882028,-13.705320,393.121004,-1.997899,0.333146
0.338843,315.450123,-60.679299,321.233183,-10.888297,0.663245
0.418334,281.255499,-263.138467,385.157771,-43.093942,1.057711
