"HD in %","Network Resistance in Ohm","Network Reactance in Ohm","Network Impedance, Magnitude in Ohm","Network Impedance, Angle in deg","Current, Magnitude/Terminal i in A"
100.000000,24.365810,33.156225,41.146421,53.688619,0.000000
0.500000,24.365810,66.312451,70.647249,69.824676,0.000000
0.240000,29.867020,92.057988,96.781776,72.025018,0.000000
0.200000,79.320442,-66.594329,103.568997,-40.015500,0.000000
0.710000,86.192917,47.514531,98.421794,28.866100,0.000000
0.100000,166.986404,73.959290,182.631968,23.888843,0.000000
0.340000,326.453888,145.321406,357.338008,23.996304,0.000000
0.120000,171.328293,17.640050,172.234013,5.878489,0.000000
0.120000,115.037498,-13.500770,115.827013,-6.693598,0.000000
0.090000,455.102509,313.379811,552.562394,34.550976,0.000000
0.180000,602.990112,30.598599,603.765973,2.904970,0.000000
0.070000,481.954010,300.901913,568.173943,31.978075,0.000000
0.190000,533.330505,166.578799,558.739585,17.345511,0.000000
0.070000,346.675293,161.486994,382.441902,24.976870,0.000000
0.150000,245.285095,209.881199,322.823319,40.552356,0.000000
0.140000,53.294029,228.452000,234.585955,76.868698,0.000000
0.600000,73.408913,97.011033,121.655288,52.884958,0.000000
0.130000,152.634506,8.843457,152.890481,3.315940,0.000000
0.540000,189.074905,30.395749,191.502536,9.132750,0.000000
0.130000,299.267395,-97.746862,314.826020,-18.088098,0.000000
0.100000,50.695930,-74.214772,89.877193,-55.663112,0.000000
0.120000,214.896805,-41.120220,218.795588,-10.832530,0.000000
0.440000,112.176102,-23.736319,114.659891,-11.947482,0.000000
0.120000,132.286804,44.558569,139.589630,18.615227,0.000000
0.410000,168.283997,81.316179,186.900574,25.790207,0.000000
0.120000,339.910889,134.779996,365.657024,21.629102,0.000000
0.100000,523.800781,-200.954998,561.025997,-20.989199,0.000000
0.110000,1326.363037,-778.533302,1537.970418,-30.411591,0.000000
0.350000,378.636902,-487.037784,616.904941,-52.137499,0.000000
0.110000,338.280487,-214.570003,400.592029,-32.386798,0.000000
0.330000,107.172798,-117.305797,158.891972,-47.584586,0.000000
0.110000,170.823807,106.355404,201.226849,31.906514,0.000000
0.100000,210.227005,84.253885,226.482032,21.839716,0.000000
0.110000,97.717628,305.286290,320.543997,72.250899,0.000000
0.290000,402.726593,763.338417,863.060976,62.184503,0.000000
0.110000,1563.780029,578.546515,1667.370399,20.302795,0.000000
0.280000,1301.567993,399.298393,1361.439843,17.055101,0.000000
0.110000,757.497314,-596.813300,964.359008,-38.233696,0.000000
0.100000,994.199219,383.976009,1065.771862,21.117377,0.000000
0.100000,579.762512,657.535208,876.628268,48.596703,0.000000
0.250000,1079.816040,171.554405,1093.358859,9.027346,0.000000
0.100000,590.607727,278.936903,653.164055,25.280801,0.000000
0.240000,1203.322021,301.040201,1240.406824,14.045640,0.000000
0.100000,247.807694,-414.695187,483.094971,-59.138901,0.000000
0.100000,159.007599,26.354591,161.176862,9.410891,0.000000
0.100000,169.725296,235.940100,290.644812,54.270362,0.000000
0.220000,1005.158020,198.445105,1024.559957,11.168098,0.000000
0.100000,426.267487,254.120408,496.267218,30.801387,0.000000
0.210000,686.974609,62.314917,689.795087,5.183070,0.000000
0.100000,94.987640,-464.735299,474.343283,-78.448372,0.000000
